Customer_ID,Marketing_Channel,Marketing_Spend,New_Customers
CUST0001,Email Marketing,3489.0278438962587,16
CUST0002,Online Ads,1107.8658076205506,33
CUST0003,Social Media,2576.081025358819,44
CUST0004,Online Ads,3257.5679320990967,32
CUST0005,Email Marketing,1108.4081853612497,13
CUST0006,Email Marketing,3570.998592037343,35
CUST0007,Referral,1542.797948922257,27
CUST0008,Online Ads,2846.793776206047,22
CUST0009,Social Media,1201.1385339545102,17
CUST0010,Online Ads,2516.4154567525584,39
CUST0011,Online Ads,1846.6411368459262,15
CUST0012,Email Marketing,2307.3832195252344,23
CUST0013,Online Ads,4044.9188315761085,50
CUST0014,Online Ads,2516.504862256545,48
CUST0015,Email Marketing,4008.0392942191393,11
CUST0016,Email Marketing,4327.6971406210905,13
CUST0017,Online Ads,2009.0861271295225,31
CUST0018,Email Marketing,1327.6249310465703,25
CUST0019,Referral,1077.5331482000427,18
CUST0020,Online Ads,3157.6761916901346,46
CUST0021,Referral,4999.631314036837,23
CUST0022,Email Marketing,2399.8413748807357,14
CUST0023,Social Media,3600.5763729995,45
CUST0024,Online Ads,4124.932198443579,23
CUST0025,Referral,3607.0186209755575,47
CUST0026,Social Media,4016.932816238105,23
CUST0027,Online Ads,4798.4469308639555,24
CUST0028,Online Ads,1797.4427294501315,31
CUST0029,Referral,1081.5200692813294,19
CUST0030,Email Marketing,1609.5293831391614,48
CUST0031,Referral,1504.883899496825,10
CUST0032,Email Marketing,3677.8353784796427,27
CUST0033,Email Marketing,3255.8783277200764,19
CUST0034,Referral,1871.8581636260146,18
CUST0035,Social Media,3797.8598849846035,44
CUST0036,Email Marketing,4067.592393424963,26
CUST0037,Referral,1671.156573471209,21
CUST0038,Email Marketing,3428.9899755637266,17
CUST0039,Referral,3991.7026078211434,11
CUST0040,Email Marketing,1458.1314855155906,18
CUST0041,Email Marketing,4277.20469724434,10
CUST0042,Online Ads,4858.883092136351,32
CUST0043,Online Ads,1432.3949986304262,25
CUST0044,Social Media,1102.7137019898641,47
CUST0045,Online Ads,2247.8289775787807,30
CUST0046,Online Ads,3709.389147401635,11
CUST0047,Online Ads,4832.691352823584,21
CUST0048,Social Media,2586.6177660665094,26
CUST0049,Email Marketing,3860.0588201978735,13
CUST0050,Social Media,1303.9859113722398,18
CUST0051,Social Media,3762.4576637319215,36
CUST0052,Online Ads,3508.969582404178,43
CUST0053,Social Media,1407.605221783906,17
CUST0054,Referral,4089.923539804896,14
CUST0055,Email Marketing,4401.172956355185,40
CUST0056,Email Marketing,3401.6464592673765,38
CUST0057,Online Ads,1484.2202602692605,33
CUST0058,Email Marketing,4935.377406058686,42
CUST0059,Online Ads,4130.5413854440785,47
CUST0060,Social Media,2388.815061233796,16
CUST0061,Referral,2713.512052938978,38
CUST0062,Email Marketing,2482.2835048722245,42
CUST0063,Email Marketing,3023.8431587083114,24
CUST0064,Email Marketing,2364.924699445133,49
CUST0065,Referral,4398.302507998309,12
CUST0066,Referral,4289.323672360232,43
